"CTDID","Region","Year","Mission","Location","Latitude","Longitude","SiteID","ESTDate","UTCDate","EST.Time","UTCTime","Sample_Depth_m","DIC","TA","pH","pCO2","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","Survey_design","Sample_frequency","File_Origin","Notes","Bottle.No.","Temp..o.C..input","Locale","pH..total.","Date","DoM","Season","Precipitation","Month","BestSalinity","TA_0","DIC_0","nTA","nDIC"
"NCRMP_DRTO_1","DRTO",2018,"NCRMP","DRTO",24.58952,-82.92848,"2247","06/02/2018","06/02/2018","5:24:00 PM","9:24:00 PM","0",2050.32,2378.19,8.031,421.081,3.708,36.346,NA,34.8,27.1,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-02,"02","Spring","Wet","June",36.346,2381.83905106849,2080.16531658872,2378.32513516586,2051.42526044485
"NCRMP_DRTO_10","DRTO",2018,"NCRMP","DRTO",24.66549,-82.78839,"2169","06/07/2018","06/07/2018","1:36:00 PM","5:36:00 PM","0",2050.55,2383.68,8.017,438.002,3.801,36.325,NA,33.8,28.6,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-07,"07","Spring","Wet","June",36.325,2381.83905106849,2080.16531658872,2383.61284907545,2051.63025587006
"NCRMP_DRTO_11","DRTO",2018,"NCRMP","DRTO",24.63817,-82.79831,"2238","06/07/2018","06/07/2018","3:00:00 PM","7:00:00 PM","0",2045.45,2379.26,8.019,434.762,3.806,36.307,NA,34.5,28.6,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-07,"07","Spring","Wet","June",36.307,2381.83905106849,2080.16531658872,2379.35284214467,2046.69970167685
"NCRMP_DRTO_12","DRTO",2018,"NCRMP","DRTO",24.60684,-82.87324,"2856","06/08/2018","06/08/2018","4:41:00 PM","8:41:00 PM","0",2043.34,2377.85,8.017,436.733,3.815,36.351,NA,34.3,28.8,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-08,"08","Spring","Wet","June",36.351,2381.83905106849,2080.16531658872,2377.99825473834,2044.70862817285
"NCRMP_DRTO_13","DRTO",2018,"NCRMP","DRTO",24.57037,-82.91476,"2164","06/08/2018","06/08/2018","12:03:00 PM","4:03:00 PM","0",2056.44,2385.97,8.016,439.278,3.756,36.34,NA,33.9,28.2,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-08,"08","Spring","Wet","June",36.34,2381.83905106849,2080.16531658872,2385.81767552096,2057.31484656656
"NCRMP_DRTO_14","DRTO",2018,"NCRMP","DRTO",24.5566,-82.93233,"2678","06/08/2018","06/08/2018","9:36:00 AM","1:36:00 PM","0",2055.09,2385.08,8.022,432.755,3.753,36.325,NA,34.6,27.9,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-08,"08","Spring","Wet","June",36.325,2381.83905106849,2080.16531658872,2384.96178231702,2056.00465366772
"NCRMP_DRTO_15","DRTO",2018,"NCRMP","DRTO",24.60932,-83.097,"2003","06/09/2018","06/09/2018","9:46:00 AM","1:46:00 PM","0",2044.73,2382.32,8.031,420.51,3.835,36.324,NA,34.5,28.1,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-09,"09","Spring","Wet","June",36.324,2381.83905106849,2080.16531658872,2382.3024695412,2046.02160772942
"NCRMP_DRTO_16","DRTO",2018,"NCRMP","DRTO",24.612934,-83.059012,"2013","06/09/2018","06/09/2018","1:05:00 PM","5:05:00 PM","0",2048.94,2378.02,8.016,437.638,3.744,36.387,NA,34.4,28.2,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-09,"09","Spring","Wet","June",36.387,2381.83905106849,2080.16531658872,2378.16557462368,2050.13024690435
"NCRMP_DRTO_17","DRTO",2018,"NCRMP","DRTO",24.67703,-82.9919,"2118","06/10/2018","06/10/2018","8:16:00 AM","12:16:00 PM","0",2050.52,2384.37,8.029,423.995,3.788,36.381,NA,34.9,27.8,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-10,"10","Spring","Wet","June",36.381,2381.83905106849,2080.16531658872,2384.27392676192,2051.64531767156
"NCRMP_DRTO_18","DRTO",2018,"NCRMP","DRTO",24.64274,-82.89685,"2277","06/10/2018","06/10/2018","5:00:00 PM","9:00:00 PM","0",2043.99,2377.18,8.02,432.477,3.791,36.368,NA,34.1,28.4,0,NA,"Random","Single","Nikki’s_DB","","",NA,"",NA,2018-06-10,"10","Spring","Wet","June",36.368,2381.83905106849,2080.16531658872,2377.3552524709,2045.35075211981
