,,x_ses_2,x_ses,X,Season,Trend,random,y,Case,Value
1,1,0.50,0.017,0.100,0.100,0.005,0.057,0.162,0,
2,1,0.50,0.033,0.200,0.199,0.010,0.235,0.444,0,
3,1,0.50,0.050,0.300,0.296,0.015,0.186,0.497,0,
4,1,0.50,0.067,0.400,0.389,0.020,0.213,0.622,0,
5,1,0.50,0.083,0.500,0.479,0.025,0.096,0.600,0,
6,2,1.00,0.100,0.600,0.565,0.030,0.236,0.831,0,
7,2,1.00,0.117,0.700,0.644,0.035,0.230,0.909,0,
8,2,1.00,0.133,0.800,0.717,0.040,0.235,0.993,0,
9,2,1.00,0.150,0.900,0.783,0.045,0.102,0.930,0,
10,2,1.00,0.167,1.000,0.841,0.050,0.210,1.101,0,
11,3,1.50,0.183,1.100,0.891,0.055,0.069,1.015,0,
12,3,1.50,0.200,1.200,0.932,0.060,0.082,1.074,0,
13,3,1.50,0.217,1.300,0.964,0.065,0.002,1.030,0,
14,3,1.50,0.233,1.400,0.985,0.070,0.029,1.084,0,
15,3,1.50,0.250,1.500,0.997,0.075,0.070,1.143,0,
16,4,2.00,0.267,1.600,1.000,0.080,0.087,1.166,0,
17,4,2.00,0.283,1.700,0.992,0.085,0.169,1.246,0,
18,4,2.00,0.300,1.800,0.974,0.090,0.102,1.166,0,
19,4,2.00,0.317,1.900,0.946,0.095,0.179,1.220,0,
20,4,2.00,0.333,2.000,0.909,0.100,0.209,1.218,0,
21,5,2.50,0.350,2.100,0.863,0.105,0.081,1.049,0,
22,5,2.50,0.367,2.200,0.808,0.110,0.060,0.978,0,
23,5,2.50,0.383,2.300,0.746,0.115,0.153,1.014,0,
24,5,2.50,0.400,2.400,0.675,0.120,0.058,0.853,0,
25,5,2.50,0.417,2.500,0.598,0.125,0.131,0.854,0,
26,6,3.00,0.433,2.600,0.516,0.130,0.219,0.864,0,
27,6,3.00,0.450,2.700,0.427,0.135,0.223,0.786,0,
28,6,3.00,0.467,2.800,0.335,0.140,0.230,0.705,0,
29,6,3.00,0.483,2.900,0.239,0.145,0.223,0.607,0,
30,6,3.00,0.500,3.000,0.141,0.150,0.108,0.399,0,
31,7,3.50,0.517,3.100,0.042,0.155,0.030,0.226,0,
32,7,3.50,0.533,3.200,-0.058,0.160,0.152,0.253,0,
33,7,3.50,0.550,3.300,-0.158,0.165,0.246,0.253,0,
34,7,3.50,0.567,3.400,-0.256,0.170,0.161,0.075,0,
35,7,3.50,0.583,3.500,-0.351,0.175,0.192,0.016,0,
36,8,4.00,0.600,3.600,-0.443,0.180,0.206,-0.057,0,
37,8,4.00,0.617,3.700,-0.530,0.185,0.097,-0.248,0,
38,8,4.00,0.633,3.800,-0.612,0.190,0.008,-0.414,0,
39,8,4.00,0.650,3.900,-0.688,0.195,0.221,-0.272,0,
40,8,4.00,0.667,4.000,-0.757,0.200,0.068,-0.489,0,
41,9,4.50,0.683,4.100,-0.818,0.205,0.021,-0.592,0,
42,9,4.50,0.700,4.200,-0.872,0.210,0.136,-0.525,0,
43,9,4.50,0.717,4.300,-0.916,0.215,0.097,-0.604,0,
44,9,4.50,0.733,4.400,-0.952,0.220,0.224,-0.508,0,
45,9,4.50,0.750,4.500,-0.978,0.225,0.123,-0.629,0,
46,10,5.00,0.767,4.600,-0.994,0.230,0.202,-0.562,0,
47,10,5.00,0.783,4.700,-1.000,0.235,0.173,-0.592,0,
48,10,5.00,0.800,4.800,-0.996,0.240,0.088,-0.668,0,
49,10,5.00,0.817,4.900,-0.982,0.245,0.098,-0.639,0,
50,10,5.00,0.833,5.000,-0.959,0.250,0.144,-0.564,0,
51,11,5.50,0.850,5.100,-0.926,0.255,0.148,-0.522,0,
52,11,5.50,0.867,5.200,-0.883,0.260,0.044,-0.579,0,
53,11,5.50,0.883,5.300,-0.832,0.265,0.036,-0.532,0,
54,11,5.50,0.900,5.400,-0.773,0.270,0.092,-0.411,0,
55,11,5.50,0.917,5.500,-0.706,0.275,0.180,-0.251,0,
56,12,6.00,0.933,5.600,-0.631,0.280,0.038,-0.314,0,
57,12,6.00,0.950,5.700,-0.551,0.285,0.061,-0.205,0,
58,12,6.00,0.967,5.800,-0.465,0.290,0.173,-0.001,0,
59,12,6.00,0.983,5.900,-0.374,0.295,0.213,0.134,0,
