"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","LOBSTER_NUM","CONCH_NUM","DIADEMA_NUM","A_PALMATA","A_CERVICORNIS","D_CYLINDRUS","M_FEROX","O_ANNULARIS","O_FRANKSI","O_FAVEOLATA"
"FLK",1012,1,2016,12,8,"ISOL_MR","MCPR",NA,0.63,25.31024,-80.21864,1948773,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,NA,5.18159983418881,5.48639982443521,0,0,1,"A","A","A","P","A","P","P"
"FLK",1033,1,2016,11,4,"ISOL_LR","MCPR",NA,0.243333333333333,25.61221,-80.10626,2006888,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,NA,6.40079979517441,6.40079979517441,0,0,0,"A","A","A","A","A","A","A"
"FLK",1039,1,2016,12,2,"ISOL_MR","MCPR",NA,0.43,25.38479,-80.15346,1968552,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,7.31519976591361,8.53439972689921,0,0,0,"A","A","A","A","P","P","A"
"FLK",1049,1,2016,12,2,"ISOL_MR","MCPR",NA,0.496666666666667,25.41623,-80.14463,1975761,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,3.047999902464,3.3527998927104,1,0,7,"A","A","A","A","A","A","P"
"FLK",1056,1,2016,12,8,"ISOL_LR","OFPR",NA,0.243333333333333,25.32453,-80.16182,1952918,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,10.667999658624,11.2775996391168,0,0,0,"A","A","A","A","A","A","A"
"FLK",1065,1,2016,12,1,"ISOL_HR","OFPR",NA,0.87,25.43187,-80.13137,1978764,"Biscayne",12,"Offshore Patch Reef",3,"BISC_MRZ",27,NA,1,NA,8.53439972689921,9.14399970739201,0,0,0,"A","A","A","A","A","A","P"
"FLK",1085,1,2016,12,1,"SPGR_LR","FMLR",NA,0.216666666666667,25.40086,-80.12876,1972463,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,11.2775996391168,12.4967996001024,0,0,0,"A","A","A","A","A","A","A"
"FLK",1093,1,2016,12,1,"ISOL_HR","FMLR",NA,0.743333333333333,25.45783,-80.11259,1983545,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,17.0687994537984,17.6783994342912,0,0,0,"A","A","A","A","A","P","A"
"FLK",1101,1,2016,12,2,"CONT_HR","FMLR",NA,0.87,25.37697,-80.13488,1966585,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,21.6407993074944,22.2503992879872,0,0,0,"A","A","A","A","P","P","P"
"FLK",1123,1,2016,12,2,"SPGR_MR","FMLR",NA,0.376666666666667,25.37554,-80.13761,1966358,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,9.14399970739201,9.44879969763841,1,0,0,"A","A","A","A","A","A","A"
