CTDID-mysql,Dttm-mysql,Site-mysql,CTDID,Region,Year,Mission,Location,Latitude,Longitude,collected_date,UTCDate,collected_time,UTCTime,Sample_Depth_m,DIC_umol_kg,TA_umol_kg,pH_measured,pH_calculated,pCO2_uatm,Aragonite_Sat_W,Salinity_Bottle,Conductivity_Sm,Salinity_CTD,Temperature_C,Pressure_db,Density_Sigmat,SiteID,Survey_design,Sample_frequency
WS16074_1,2016-03-14 12:44:00,1,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0007997613673,0.4902853632,0.0006368877607,0,0,1,0,0,0,0,0,0
WS16074_2,2016-03-14 13:02:00,2,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.001015903236,0.4435128205,0.001314974503,0,0,1,0,0,0,0,0,0
WS16074_3,2016-03-14 13:19:00,3,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0009480002436,0.3904525678,0.00107278029,0,0,1,0,0,0,0,0,0
WS16074_4,2016-03-14 16:16:00,EK_IN,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0008348255627,0.4293702955,0.0006837874045,0,0,1,0,0,0,0,0,0
WS16074_5,2016-03-14 16:32:00,EK_MID,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0009214785407,0.3658507487,0.0009745232908,0,0,1,0,0,0,0,0,0
WS16074_6,2016-03-14 16:48:00,EK_OFF,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0009936330134,0.3905569604,0.001226685602,0,0,1,0,0,0,0,0,0
WS16074_7,2016-03-14 19:06:00,4,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0007735143534,0.3618186318,0.0004659834056,0,0,1,0,0,0,0,0,0
WS16074_8,2016-03-14 19:18:00,5,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0008732628309,0.3379083553,0.000790118782,0,0,1,0,0,0,0,0,0
WS16074_9,2016-03-14 19:31:00,5.5,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0008844498335,0.3398060001,0.0008346661051,0,0,1,0,0,0,0,0,0
WS16074_10,2016-03-14 19:41:00,6,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0009616347438,0.4197976227,0.001142050256,0,0,1,0,0,0,0,0,0
WS16074_11,2016-03-14 19:56:00,6.5,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0008941172949,0.3731730376,0.0008946789446,0,0,1,0,0,0,0,0,0
WS16074_12,2016-03-14 21:13:00,MR,1,0,0,0,0,0,0,0,1,0:00:00,4:00:00,0,0,0,0,-0.00104381668,0.4588048506,0.001427131041,0,0,1,0,0,0,0,0,0
WS16074_13,2016-03-15 00:06:00,UK_OFF,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0009252152995,0.3868348523,0.001003103075,0,0,1,0,0,0,0,0,0
WS16074_14,2016-03-15 00:18:00,UK_MID,1,0,0,0,0,0,0,0,0,0:00:00,4:00:00,0,0,0,0,-0.0008820862509,0.3871125009,0.0008694806802,0,0,1,0,0,0,0,0,0
