Bottle ID,Date collected,Time collected (EST) ,Latitude,Longitude,Sampling Location,Temp at collection (deg C),Salinity (psu),Collector,Calculated Density field conditions (g/ml),Desitometer Salinity ,Date alkalinity analyzed,CRM ID,CRM certified TA value (µequiv/kg),Difference between TA1 and TA2,Temp during TA analysis,Sample density at analysis,TA1 (µequiv/L),TA2 (µequiv/L),Mean TA (µequiv/L),Mean TA corrected for density (uequiv/kg),TA with CRM Correction (uequiv/kg),TA1 pH,TA2 pH,Mean TA pH (NBS),Mean TA pH (total),,Date analyzed,CRM ID,CRM Certified TCO2 value (µmol/kg),Temp during TCO2 analysis,Density during TCO2 analysis,Difference between TCO2_1 and TCO2_2,TCO2_1 (µmol/L),TCO2_2  (µmol/L),Mean TCO2 (µmol/L),Mean TCO2 corrected for density (µmol/kg),CRM Corrected TCO2 (µmol/kg)
1E,10/4/2012,12:00:00 PM,24° 54.311' N,80° 37.596' W,Transect 1,29.4,36,Karen Neely,1.02268279,,12/13/2012,CRM 114,2217.91,-2.4,24.6,1.024220513,2444.7,2447.1,2445.9,2388.059963,2383.392153,8.09,8.089,,,,12/12/2012,CRM114,2000.93,21.4,1.025146826,2.832477,2176.350088,2173.517611,2174.93385,2121.582777,2123.966117
2E,10/4/2012,11:45:00 AM,24° 53.128' N,80° 36.246' W,Transect 2,29,36.5,Karen Neely,1.023193188,,12/13/2012,CRM 114,2217.91,-2.6,24.6,1.024598933,2444.2,2446.8,2445.5,2386.787573,2382.119762,8.171,8.171,,,,12/12/2012,CRM114,2000.93,21.3,1.025555156,2.551677,2127.406548,2124.854871,2126.13071,2073.151011,2075.534351
3E,10/4/2012,11:30:00 AM,24° 53.862' N,80° 37.090' W,Transect 3,28.8,36.3,Karen Neely,1.02310987,,12/13/2012,CRM 114,2217.91,-1.4,24.05,1.024612755,2430.6,2432,2431.3,2372.89648,2368.228669,8.22,8.219,,,,12/12/2012,CRM114,2000.93,21.4,1.025375194,-0.083556,2084.664038,2084.747594,2084.705816,2033.115124,2035.498465
4E,10/4/2012,11:10:00 AM,24° 51.282' N,80° 34.045' W,Transect 4,28.7,36.2,Karen Neely,1.023068074,,12/13/2012,CRM 114,2217.91,-0.6,24.35,1.024447219,2425.8,2426.4,2426.1,2368.203997,2363.536187,8.242,8.25,,,,12/12/2012,CRM114,2000.93,21.4,1.025299067,-3.181942,2061.127772,2064.309714,2062.718743,2011.821535,2014.204875
7E,10/4/2012,12:35:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,29.4,36.6,Karen Neely,1.023133376,,12/13/2012,CRM 114,2217.91,-1.7,24.5,1.024704882,2451.4,2453.1,2452.25,2393.128054,2388.460243,8.093,8.09,,,,12/12/2012,CRM114,2000.93,21.4,1.025603602,-1.468728,2164.601968,2166.070696,2165.336332,2111.27996,2113.663301
8E,10/4/2012,12:45:00 PM,24° 53.896' N,80° 37.043' W,Cal Val N,29.5,36.5,Karen Neely,1.023024356,,12/13/2012,CRM 114,2217.91,-0.7,24.4,1.024659333,2452.3,2453,2452.65,2393.62481,2388.956999,8.087,8.086,,,,12/12/2012,CRM114,2000.93,21.6,1.025471829,-0.710777,2167.141832,2167.852609,2167.497221,2113.658474,2116.041815
9E,10/4/2012,12:55:00 PM,24° 53.788' N,80° 37.092' W,ADCP2 S,29.5,36.6,Karen Neely,1.023099453,,12/13/2012,CRM 114,2217.91,0.3,24.3,1.024765153,2450.2,2449.9,2450.05,2390.84047,2386.17266,8.09,8.09,,,,12/13/2012,CRM114,2000.93,20.9,1.025741332,0.959946,2171.658013,2170.698067,2171.17804,2116.691579,2119.001117
10E,10/4/2012,1:05:00 PM,24° 53.798' N,80° 36.918' W,Cal Val SE,29.4,36.7,Karen Neely,1.02320849,,12/13/2012,CRM 114,2217.91,3.2,24.3,1.024840894,2453.4,2450.2,2451.8,2392.371356,2387.703546,8.095,8.093,,,,12/13/2012,CRM114,2000.93,21,1.025790153,-3.743024,2162.105998,2165.849022,2163.97751,2109.571343,2111.880881
11E,10/4/2012,1:15:00 PM,24° 53.735' N,80° 36.998' W,Cal Val S,29.4,36.6,Karen Neely,1.023133376,,12/13/2012,CRM 114,2217.91,1.9,24.55,1.024689766,2453.9,2452,2452.95,2393.846491,2389.17868,8.093,8.084,,,,12/13/2012,CRM114,2000.93,21.4,1.025603602,-0.726035,2166.784351,2167.510386,2167.147369,2113.045785,2115.355324
12E,10/31/2012,11:19:00 AM,,,ADCP3 N,22.5,36.2,Karen Neely,1.024989555,,12/13/2012,CRM 114,2217.91,-3.9,24.55,1.024386977,2520.9,2524.8,2522.85,2462.789997,2458.122187,8.06,8.063,,,,12/13/2012,CRM114,2000.93,21,1.025409181,0.02673,2242.919583,2242.892853,2242.906218,2187.328006,2189.637544
