CTDID,Region,Year,Mission,Location,Latitude,Longitude,ESTDate,UTCDate,EST Time,UTCTime,Sample_Depth_m,DIC,TA,pH,pCO2,Aragonite_Sat_W,Salinity_Bottle,Conductivity_Sm,Salinity_CTD,Temperature_C,Pressure_db,Density_Sigmat,SiteID,Survey_design ,Sample_frequency
calval_mar2012,FLK,2012,NCRMP,FLK,24.8955833333333,-80.6166333333333,3/23/2012,3/23/2012,01:16:00 PM,05:16:00 PM,0,2024.92,2373.16,8.114,338.6,3.95,,,34.6,25.20,0,,CalVal_S,Permenant,Single
calval_mar2012,FLK,2012,NCRMP,FLK,24.8966333333333,-80.6153,3/23/2012,3/23/2012,01:32:00 PM,05:32:00 PM,0,2039.81,2373.26,8.089,364.2,3.81,,,34.52,25.41,0,,CalVal_SE,Permenant,Single
calval_mar2012,FLK,2012,NCRMP,FLK,24.8982666666667,-80.6173833333333,3/23/2012,3/23/2012,12:40:00 PM,04:40:00 PM,0,2037.46,2379.61,8.108,345.5,3.88,,,34.71,24.80,0,,CalVal_N,Permenant,Single
calval_mar2012,FLK,2012,NCRMP,FLK,24.8964666666667,-80.6182,3/23/2012,3/23/2012,01:02:00 PM,05:02:00 PM,0,2015.78,2366.11,8.12,331.4,3.97,,,34.61,25.05,0,,ADCP_S,Permenant,Single
calval_mar2012,FLK,2012,NCRMP,FLK,NA,NA,3/23/2012,3/23/2012,01:45:00 PM,05:45:00 PM,0,2026.46,2372.81,8.112,340.5,3.93,,,34.64,25.11,0,,ADCP_N,Permenant,Single
calval_mar2012,FLK,2012,NCRMP,FLK,NA,NA,3/23/2012,3/23/2012,01:57:00 PM,05:57:00 PM,0,2001.39,2365.26,8.141,311.7,4.1,,,34.67,25.00,0,,ADCP_N,Permenant,Single
calval_apr2012,FLK,2012,NCRMP,FLK,24.8955833333333,-80.6166333333333,4/4/2012,4/4/2012,08:58:00 AM,12:58:00 PM,0,1976.35,2370.06,8.154,296.2,4.4,,,35.63,26.20,0,,CalVal_S,Permenant,Single
calval_apr2012,FLK,2012,NCRMP,FLK,24.8966333333333,-80.6153,4/4/2012,4/4/2012,09:09:00 AM,01:09:00 PM,0,1976.20,2363.61,8.146,302,4.32,,,35.7,26.11,0,,CalVal_SE,Permenant,Single
calval_apr2012,FLK,2012,NCRMP,FLK,24.8982666666667,-80.6173833333333,4/4/2012,4/4/2012,09:34:00 AM,01:34:00 PM,0,1986.82,2360.91,8.125,320.9,4.18,,,35.73,26.23,0,,CalVal_N,Permenant,Single
calval_apr2012,FLK,2012,NCRMP,FLK,24.8964666666667,-80.6182,4/4/2012,4/4/2012,08:44:00 AM,12:44:00 PM,0,1990.75,2370.91,8.137,312.4,4.26,,,35.54,26.11,0,,ADCP_S,Permenant,Single
