SiteID,dec lon,dec lat,Zone,Sub_region,Reference,Transect
1,-80.12666667,25.645,Inshore,BB,BB_1,T1
2,-80.105,25.64166667,Mid channel,BB,BB_1,T1
3,-80.08333333,25.645,Offshore,BB,BB_1,T1
EK_IN,-80.227501,25.336306,Inshore,BB,BB_2,T2
EK_MID,-80.1946,25.314483,Mid channel,BB,BB_2,T2
EK_OFF,-80.162604,25.294251,Offshore,BB,BB_2,T2
4,-80.38,25.10833333,Inshore,UK,UK_3,T1
5,-80.355,25.09333333,Inshore,UK,UK_3,T1
5.5,-80.33416667,25.07966667,Mid channel,UK,UK_3,T1
6,-80.315,25.065,Offshore,UK,UK_3,T1
6.5,-80.28766667,25.04833333,Oceanic,UK,UK_3,T1
MR,-80.38,25.01,Offshore,UK,UK_3,T1
UK_IN,-80.569852,24.939806,Inshore,UK,UK_4,T2
UK_MID,-80.546176,24.920702,Mid channel,UK,UK_4,T2
UK_OFF,-80.529497,24.898193,Offshore,UK,UK_4,T2
Transect 1,,,Inshore,UK,Buoy,
H2O_1,,,Inshore,UK,Buoy,
H2O_2,,,Inshore,UK,Buoy,
H2O_3,,,Inshore,UK,Buoy,
H2O_4,,,Inshore,UK,Buoy,
CalVal_N,,,Inshore,UK,Buoy,
CalVal_S,,,Inshore,UK,Buoy,
CalVal_SE,,,Inshore,UK,Buoy,
ADCP_N,,,Inshore,UK,Buoy,
ADCP_NE,,,Inshore,UK,Buoy,
ADCP_S,,,Inshore,UK,Buoy,
ADCP_SW,,,Inshore,UK,Buoy,
MapCO2_Buoy,,,Inshore,UK,Buoy,
Transect 2,,,Mid channel,UK,Buoy,
Transect 3,,,Offshore,UK,Buoy,
Transect 4,,,Oceanic,UK,Buoy,
7,-80.75666667,24.82083333,Inshore,MK,MK_5,T1
8,-80.74166667,24.7925,Mid channel,MK,MK_5,T1
9,-80.72333333,24.76333333,Offshore,MK,MK_5,T1
9.5,-80.69,24.71666667,Oceanic,MK,MK_5,T1
10,-80.86,24.78833333,Inshore,MK,MK_6,T2
11,-80.84666667,24.75333333,Mid channel,MK,MK_6,T2
12,-80.83166667,24.71333333,Offshore,MK,MK_6,T2
13,-81.03,24.70166667,Inshore,MK,MK_7,T3
14,-81.02333333,24.675,Mid channel,MK,MK_7,T3
15,-81.01666667,24.64333333,Offshore,MK,MK_7,T3
15.5,-80.99166667,24.59166667,Oceanic,MK,MK_7,T3
16,-81.205,24.675,Inshore,LK,LK_8,T1
17,-81.19333333,24.635,Mid channel,LK,LK_8,T1
18,-81.18333333,24.59833333,Offshore,LK,LK_8,T1
19,-81.42166667,24.61,Inshore,LK,LK_9,T2
20,-81.41833333,24.575,Mid channel,LK,LK_9,T2
21LK,-81.42,24.54,Offshore,LK,LK_9,T2
21.5,-81.39166667,24.48333333,Oceanic,LK,LK_9,T2
WS,-81.717,24.478,Offshore,LK,LK_10,T3
22,-81.82833333,24.455,Offshore,LK,LK_10,T3
22.5,-81.82833333,24.39666667,Oceanic,LK,LK_10,T3
23,-81.82833333,24.48666667,Mid channel,LK,LK_10,T3
24,-81.82833333,24.53666667,Inshore,LK,LK_10,T3
