"CTDID","Region","Year","Mission","Location","Latitude","Longitude","SiteID","ESTDate","UTCDate","EST.Time","UTCTime","Sample_Depth_m","DIC","TA","pH","pCO2","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","Survey_design","Sample_frequency","File_Origin","Notes","Bottle.No.","Temp..o.C..input","pCO2.25","pH.25","Omega.25","Locale","Date","Season","Precipitation","Month","BestSalinity","TA_0","DIC_0","nTA","nDIC","MY","ID","dec.lon","dec.lat","Zone","Sub_region","Reference"
"WS10067_1","FLK",2010,"WaltonSmith","Biscayne",25.6463,-80.1243,"1","3/8/2010","3/8/2010","7:38:00 AM","12:38 PM",0,2072.52,2424.23,8.162,300.5,3.83,36.37,NA,36.494,20.34,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.37,2677.02550967879,3091.35743555061,2433.75240440638,2110.89798423713,"2010-03","1 _ 2010-03-08",-80.12666667,25.645,"Inshore","Biscayne",1
"WS10067_10","FLK",2010,"WaltonSmith","MK",24.7629,-80.725,"9","3/8/2010","3/8/2010","3:58:00 PM","8:58 PM",0,2078.91,2390.38,8.099,353.6,3.41,36.45,NA,36.499,20.54,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.45,2677.02550967879,3091.35743555061,2401.78290779243,2119.18568673658,"2010-03","9 _ 2010-03-08",-80.72333333,24.76333333,"Offshore","MK",6
"WS10067_11","FLK",2010,"WaltonSmith","MK",24.7183,-80.6877,"9.5","3/8/2010","3/8/2010","4:48:00 PM","9:48 PM",0,2067.29,2408.08,8.134,322.7,3.73,36.38,NA,36.507,21.24,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.38,2677.02550967879,3091.35743555061,2418.28189124125,2106.13587853381,"2010-03","9.5 _ 2010-03-08",-80.69,24.71666667,"Oceanic","MK",6
"WS10067_12","FLK",2010,"WaltonSmith","MK",24.7126,-80.8341,"12","3/8/2010","3/8/2010","5:55:00 PM","10:55 PM",0,2073.49,2413.73,8.148,311.3,3.71,36.29,NA,36.48,20.24,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.29,2677.02550967879,3091.35743555061,2423.0893609117,2109.67211606118,"2010-03","12 _ 2010-03-08",-80.83166667,24.71333333,"Offshore","MK",7
"WS10067_13","FLK",2010,"WaltonSmith","MK",24.753,-80.8467,"11","3/8/2010","3/8/2010","6:14:00 PM","11:14 PM",0,2072,2408.63,8.147,312,3.66,36.39,NA,36.511,19.94,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.39,2677.02550967879,3091.35743555061,2418.88198566786,2110.93670886,"2010-03","11 _ 2010-03-08",-80.84666667,24.75333333,"Mid channel","MK",7
"WS10067_14","FLK",2010,"WaltonSmith","MK",24.7865,-80.8613,"10","3/8/2010","3/8/2010","6:48:00 PM","11:48 PM",0,2334.34,2724.33,8.227,287.1,4.42,34.98,NA,35.047,17.9,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",34.98,2677.02550967879,3091.35743555061,2724.35704659252,2333.90717127756,"2010-03","10 _ 2010-03-08",-80.86,24.78833333,"Inshore","MK",7
"WS10067_16","FLK",2010,"WaltonSmith","LK",24.6352,-81.1859,"17","3/9/2010","3/9/2010","1:05:00 AM","6:05",0,2310.76,2678.78,8.199,304.8,4.16,35.23,NA,35.523,17.91,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-09,"Spring","Dry","March",35.23,2677.02550967879,3091.35743555061,2678.76854576288,2315.85615129653,"2010-03","17 _ 2010-03-09",-81.19333333,24.635,"Mid channel","LK",9
"WS10067_17","FLK",2010,"WaltonSmith","LK",24.5974,-81.1865,"18","3/9/2010","3/9/2010","12:38:00 AM","5:38",0,2339.89,2722.78,8.196,311.9,4.37,35.03,NA,36.193,19.19,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-09,"Spring","Dry","March",35.03,2677.02550967879,3091.35743555061,2722.74081545219,2340.53356331906,"2010-03","18 _ 2010-03-09",-81.18333333,24.59833333,"Offshore","LK",9
"WS10067_2","FLK",2010,"WaltonSmith","Biscayne",25.6456,-80.0825,"3","3/8/2010","3/8/2010","8:05:00 AM","13:05",0,2068.17,2418.43,8.139,318.2,3.83,36.55,NA,36.515,21.58,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.55,2677.02550967879,3091.35743555061,2429.39643064301,2111.56098563895,"2010-03","3 _ 2010-03-08",-80.08333333,25.645,"Offshore","Biscayne",1
"WS10067_22","FLK",2010,"WaltonSmith","LK",24.396,-81.8227,"22.5","3/9/2010","3/9/2010","7:48:00 AM","12:48",0,2084.41,2420.98,8.107,349.1,3.71,36.52,NA,36.558,22.33,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-09,"Spring","Dry","March",36.52,2677.02550967879,3091.35743555061,2431.63687773033,2126.32018899334,"2010-03","22.5 _ 2010-03-09",-81.82833333,24.39666667,"Oceanic","LK",11
