"","Sub_region","Zone","SiteID","Lat","Lon","number"
"1","Biscayne","Inshore","1",25.6446043907407,-80.1224615425926,45
"2","Biscayne","Inshore","EK_IN",25.3322680046296,-80.2202241898148,36
"3","Biscayne","Mid channel","2",25.6415845619658,-80.1052344833333,39
"4","Biscayne","Mid channel","EK_MID",25.3141831595238,-80.1947599166667,35
"5","Biscayne","Offshore","3",25.644021687037,-80.0831240685185,45
"6","Biscayne","Offshore","EK_OFF",25.296555349537,-80.1660873333333,36
"7","UK","Inshore","4",25.1080325952381,-80.3782458714286,35
"8","UK","Inshore","5",25.0934582361111,-80.3552329351852,36
"9","UK","Inshore","UK_IN",24.9347990115741,-80.5652158541667,36
"10","UK","Mid channel","5.5",25.079180510101,-80.3329665,33
"11","UK","Mid channel","UK_MID",24.9190658009259,-80.5463118333333,36
"12","UK","Offshore","6",25.0641972095238,-80.3146069380952,35
"13","UK","Offshore","MR",25.0057612545045,-80.3748464864865,37
"14","UK","Offshore","UK_OFF",24.8983690671296,-80.5296278078704,36
"15","UK","Oceanic","6.5",25.0493250787037,-80.2873616574074,36
"16","MK","Inshore","10",24.7859151937984,-80.8615506763566,43
"17","MK","Inshore","13",24.7006919979167,-81.0293188229167,40
"18","MK","Inshore","7",24.8169820700758,-80.7544893977273,44
"19","MK","Mid channel","11",24.7533178928571,-80.8480827460317,42
"20","MK","Mid channel","14",24.6754665375,-81.02372054375,40
"21","MK","Mid channel","8",24.7923313901515,-80.7423335871212,44
"22","MK","Offshore","12",24.7139780873016,-80.8319509642857,43
"23","MK","Offshore","15",24.6437239708333,-81.01634896875,40
"24","MK","Offshore","9",24.7628568825758,-80.7236256912879,44
"25","MK","Oceanic","15.5",24.5923160197368,-80.9896376557018,38
"26","MK","Oceanic","9.5",24.7170253178295,-80.689555631783,43
"27","LK","Inshore","16",24.671797282197,-81.2028867045454,44
"28","LK","Inshore","19",24.608456657197,-81.4209693390151,44
"29","LK","Inshore","24",24.5363523262411,-81.8281345195035,47
"30","LK","Mid channel","17",24.635661970363,-81.193862594437,45
"31","LK","Mid channel","20",24.5705892367424,-81.4188897462121,44
"32","LK","Mid channel","23",24.4866746449275,-81.8280612735507,46
"33","LK","Offshore","18",24.5965266630435,-81.1832838206522,46
"34","LK","Offshore","21LK",24.536726,-81.4142859962121,44
"35","LK","Offshore","22",24.4555011918605,-81.8286755368217,43
"36","LK","Offshore","WS",24.4761132342342,-81.7160641351351,37
"37","LK","Oceanic","21.5",24.4826028194444,-81.3908543988095,42
"38","LK","Oceanic","22.5",24.3974704651163,-81.8280908100775,43
