"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Transect","Extreme","BestSalinity","n35TA","n35DIC","TA_0","DIC_0","nTA","nDIC","Date"
"WS10067_1","FL",2010,"WaltonSmith","Upper_Keys",25.6463333333333,-80.1243333333333,2010-03-08,"12:26:00",0,2072.52,2424.23,NA,8.16059530966215,302.110985830766,3.8264656426637,NA,NA,36.494,20.43233,0,NA,"1","Permanent","Single",1,10021,"E",1030,"1",517,"Walton Smith",9221,"3/8/2010","12:26:00","+00:00",NA,17166,2085.72,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9096,2455.4,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4534,2010-03-08 12:26:00,2010-03-08 07:26:00,2010-03-08,"07:26:00","Mar","March","2010-03",3,7.43333333333333,"Winter","Dry",-80.12666667,25.645,"Inshore","BB","BB_1","T1","ColdMortality",36.494,2391.31311408237,2044.37873271018,2101.95407159417,1758.90398444232,2419.85404558588,2068.26163235087,2010-03-08
"WS10067_2","FL",2010,"WaltonSmith","Upper_Keys",25.6456166666667,-80.0824666666667,2010-03-08,"13:05:00",0,2068.17,2418.43,NA,8.14144846405537,317.279428255789,3.83070912708624,NA,NA,36.515,21.57933,0,NA,"3","Permanent","Single",1,10022,"E",1031,"2",517,"Walton Smith",9222,"3/8/2010","13:05:00","+00:00",NA,17167,2081.37,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9097,2449.6,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4535,2010-03-08 13:05:00,2010-03-08 08:05:00,2010-03-08,"08:05:00","Mar","March","2010-03",3,8.08333333333333,"Winter","Dry",-80.08333333,25.645,"Offshore","BB","BB_1","T1","ColdMortality",36.515,2384.21989965051,2038.91453127037,2101.95407159417,1758.90398444232,2413.95326374178,2063.7952521566,2010-03-08
"WS10067_3","FL",2010,"WaltonSmith","Upper_Keys",25.10675,-80.3811666666667,2010-03-08,"17:17:00",0,2187.09,2558.48,NA,8.19166200781698,293.271837353628,4.06753019428167,NA,NA,36.6619999999999,18.839,0,NA,"4","Permanent","Single",1,10023,"E",1032,"3",517,"Walton Smith",9223,"3/8/2010","17:17:00","+00:00",NA,17168,2200.29,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9098,2589.65,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4536,2010-03-08 17:17:00,2010-03-08 12:17:00,2010-03-08,"12:17:00","Mar","March","2010-03",3,12.2833333333333,"Winter","Dry",-80.38,25.10833333,"Inshore","UK","UK_3","T1","ColdMortality",36.6619999999999,2512.1754385658,2147.50702758391,2101.95407159417,1758.90398444232,2550.21758133807,2179.34049026662,2010-03-08
"WS10067_4","FL",2010,"WaltonSmith","Upper_Keys",25.0933333333333,-80.3545,2010-03-08,"17:42:00",0,2112.23,2446.23,NA,8.15220414794676,313.306736135031,3.62278257192661,NA,NA,36.6815,18.8245,0,NA,"5","Permanent","Single",1,10024,"E",1033,"4",517,"Walton Smith",9224,"3/8/2010","17:42:00","+00:00",NA,17169,2125.43,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9099,2477.4,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4537,2010-03-08 17:42:00,2010-03-08 12:42:00,2010-03-08,"12:42:00","Mar","March","2010-03",3,12.7,"Winter","Dry",-80.355,25.09333333,"Inshore","UK","UK_3","T1","ColdMortality",36.6815,2400.68010345206,2072.89933281602,2101.95407159417,1758.90398444232,2439.81942825375,2105.65091158381,2010-03-08
"WS10067_5","FL",2010,"WaltonSmith","Upper_Keys",25.079,-80.333,2010-03-08,"17:45:00",0,2080.85,2428.08,NA,8.14721806522536,314.027165461195,3.78775954206774,NA,NA,36.5529999999999,20.77,0,NA,"5.5","Permanent","Single",1,10025,"E",1034,"5",517,"Walton Smith",9225,"3/8/2010","17:45:00","+00:00",NA,17170,2094.05,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9100,2459.25,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4538,2010-03-08 17:45:00,2010-03-08 12:45:00,2010-03-08,"12:45:00","Mar","March","2010-03",3,12.75,"Winter","Dry",-80.33416667,25.07966667,"Mid channel","UK","UK_3","T1","ColdMortality",36.5529999999999,2391.24490220985,2049.28254207578,2101.95407159417,1758.90398444232,2423.13251867124,2075.96592988443,2010-03-08
"WS10067_6","FL",2010,"WaltonSmith","Upper_Keys",25.0615666666667,-80.3143,2010-03-08,"18:22:00",0,2067.41,2420.28,NA,8.15327392797499,307.407775718187,3.84774352436403,NA,NA,36.5069999999999,21.055,0,NA,"6","Permanent","Single",1,10026,"E",1035,"6",517,"Walton Smith",9226,"3/8/2010","18:22:00","+00:00",NA,17171,2080.61,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9101,2451.45,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4539,2010-03-08 18:22:00,2010-03-08 13:22:00,2010-03-08,"13:22:00","Mar","March","2010-03",3,13.3666666666667,"Winter","Dry",-80.315,25.065,"Offshore","UK","UK_3","T1","ColdMortality",36.5069999999999,2386.5665985362,2038.6119174144,2101.95407159417,1758.90398444232,2415.84586435426,2063.11265128147,2010-03-08
"WS10067_7","FL",2010,"WaltonSmith","Upper_Keys",25.0484,-80.2867666666667,2010-03-08,"18:50:00",0,2062.71,2418.08,NA,8.14492842020165,313.780276407797,3.88832070897619,NA,NA,36.512,21.867,0,NA,"6.5","Permanent","Single",1,10027,"E",1036,"7",517,"Walton Smith",9227,"3/8/2010","18:50:00","+00:00",NA,17172,2075.91,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9102,2449.25,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4540,2010-03-08 18:50:00,2010-03-08 13:50:00,2010-03-08,"13:50:00","Mar","March","2010-03",3,13.8333333333333,"Winter","Dry",-80.28766667,25.04833333,"Oceanic","UK","UK_3","T1","ColdMortality",36.512,2384.07072112772,2033.69885081443,2101.95407159417,1758.90398444232,2413.63382168584,2058.43709608194,2010-03-08
"WS10067_8","FL",2010,"WaltonSmith","Middle_Keys",24.8191666666667,-80.7545,2010-03-08,"22:11:00",0,2264.78,2625.78,NA,8.19272141333206,304.302933001136,4.0473533519397,NA,NA,35.3564999999999,18.173,0,NA,"7","Permanent","Single",1,10028,"E",1037,"8",517,"Walton Smith",9228,"3/8/2010","22:11:00","+00:00",NA,17173,2277.98,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9103,2656.95,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4541,2010-03-08 22:11:00,2010-03-08 17:11:00,2010-03-08,"17:11:00","Mar","March","2010-03",3,17.1833333333333,"Winter","Dry",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","ColdMortality",35.3564999999999,2673.45674015668,2305.9020009186,2101.95407159417,1758.90398444232,2635.29119769209,2273.96527802986,2010-03-08
"WS10067_9","FL",2010,"WaltonSmith","Middle_Keys",24.792,-80.742,2010-03-08,"22:32:00",0,2065.2,2386.83,NA,8.14237314265438,315.541019139486,3.50708012753855,NA,NA,35.9149999999999,19.382,0,NA,"8","Permanent","Single",1,10029,"E",1038,"9",517,"Walton Smith",9229,"3/8/2010","22:32:00","+00:00",NA,17174,2078.4,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9104,2418,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4542,2010-03-08 22:32:00,2010-03-08 17:32:00,2010-03-08,"17:32:00","Mar","March","2010-03",3,17.5333333333333,"Winter","Dry",-80.74166667,24.7925,"Mid channel","MK","MK_5","T1","ColdMortality",35.9149999999999,2392.37749840593,2069.99996217072,2101.95407159417,1758.90398444232,2387.49211198901,2065.91189680792,2010-03-08
"WS10067_10","FL",2010,"WaltonSmith","Middle_Keys",24.7628833333333,-80.725,2010-03-08,"22:52:00",0,2078.91,2390.38,NA,8.10017703861652,353.62017338051,3.40560266556558,NA,NA,36.4985,20.5535,0,NA,"9","Permanent","Single",1,10030,"E",1039,"10",517,"Walton Smith",9230,"3/8/2010","22:52:00","+00:00",NA,17175,2092.11,NA,"SOMMA",1,590,2013.64,NA,1,16,85,2000.44,33.326,9105,2421.55,NA,"Langdonometer",1,626,2215.2,NA,1,16,85,2184.03,33.326,NA,NA,NA,4543,2010-03-08 22:52:00,2010-03-08 17:52:00,2010-03-08,"17:52:00","Mar","March","2010-03",3,17.8666666666667,"Winter","Dry",-80.72333333,24.76333333,"Offshore","MK","MK_5","T1","ColdMortality",36.4985,2357.63202428,2050.42913327418,2101.95407159417,1758.90398444232,2386.42859256668,2074.52594841501,2010-03-08
