"Zone","Sub_region","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"Inshore","BB","(Intercept)",1049.05551437602,89.8525737125774,11.6752973346291,1.2563544103434e-18,0.74011466610825,0.736695122241253,35.3923951085505,216.436663746697,6.09857426011919e-24,1,-387.850925250514,781.701850501028,788.771976981097,95199.2439955011,76,78
"Inshore","BB","DIC_umol_kg",0.643807098638877,0.0437613131534458,14.7117865586303,6.09857426011997e-24,0.74011466610825,0.736695122241253,35.3923951085505,216.436663746697,6.09857426011919e-24,1,-387.850925250514,781.701850501028,788.771976981097,95199.2439955011,76,78
"Inshore","UK","(Intercept)",1225.0465889681,62.1601009119837,19.7079247136796,4.83890049569213e-36,0.777237681275737,0.774987556844179,34.650378543318,345.419866730437,4.72814198723737e-34,1,-500.378931870064,1006.75786374013,1014.60322529065,118864.224586328,99,101
"Inshore","UK","DIC_umol_kg",0.565280028538377,0.0304151516275215,18.5854746167656,4.72814198723663e-34,0.777237681275737,0.774987556844179,34.650378543318,345.419866730437,4.72814198723737e-34,1,-500.378931870064,1006.75786374013,1014.60322529065,118864.224586328,99,101
"Inshore","MK","(Intercept)",749.001182197387,73.1845510399065,10.2344165750087,7.20334908861595e-18,0.804697193852119,0.802998908581268,45.9037749863244,473.829225079969,1.35728866482435e-42,1,-612.713203523795,1231.42640704759,1239.71292885198,242323.004169436,115,117
"Inshore","MK","DIC_umol_kg",0.793602823554765,0.0364579531402905,21.7676187278253,1.35728866482409e-42,0.804697193852119,0.802998908581268,45.9037749863244,473.829225079969,1.35728866482435e-42,1,-612.713203523795,1231.42640704759,1239.71292885198,242323.004169436,115,117
"Inshore","LK","(Intercept)",597.204702786754,77.9044123931512,7.6658649290994,5.12728598453351e-12,0.799206820488122,0.79753354399219,43.8497351912408,477.62986119208,1.18621275467229e-43,1,-633.35599257141,1272.71198514282,1281.12404827702,230735.913161033,120,122
"Inshore","LK","DIC_umol_kg",0.853095737278367,0.0390348070039329,21.8547445922408,1.18621275467229e-43,0.799206820488122,0.79753354399219,43.8497351912408,477.62986119208,1.18621275467229e-43,1,-633.35599257141,1272.71198514282,1281.12404827702,230735.913161033,120,122
"Mid channel","BB","(Intercept)",1381.66744904901,110.305592794786,12.5258150021411,1.18360509940697e-19,0.534594019232949,0.528039005419328,16.0295388959711,81.5549798113521,2.05952354368117e-13,1,-305.102182517284,616.204365034569,623.075743358014,18243.1743224389,71,73
"Mid channel","BB","DIC_umol_kg",0.485424554997481,0.0537522315466359,9.0307795793803,2.05952354368109e-13,0.534594019232949,0.528039005419328,16.0295388959711,81.5549798113521,2.05952354368117e-13,1,-305.102182517284,616.204365034569,623.075743358014,18243.1743224389,71,73
"Mid channel","UK","(Intercept)",1733.15824353106,120.551803035846,14.376875333965,7.29839690474336e-22,0.306960321760926,0.296298172864941,19.0030218231931,28.7897237935306,1.15162793043189e-06,1,-291.341719176325,588.683438352649,595.297516210822,23472.464496829,65,67
"Mid channel","UK","DIC_umol_kg",0.316212482180058,0.0589332321256646,5.3656056315695,1.151627930432e-06,0.306960321760926,0.296298172864941,19.0030218231931,28.7897237935306,1.15162793043189e-06,1,-291.341719176325,588.683438352649,595.297516210822,23472.464496829,65,67
"Mid channel","MK","(Intercept)",734.331822219924,78.5550657481013,9.34798813070402,8.00827907146565e-16,0.787400253063232,0.785567496624122,29.3552337048113,429.626237431509,8.28568102599432e-41,1,-565.203735745935,1136.40747149187,1144.71952536527,99960.6505202343,116,118
"Mid channel","MK","DIC_umol_kg",0.803125564696954,0.0387469972895609,20.7274271782947,8.28568102599409e-41,0.787400253063232,0.785567496624122,29.3552337048113,429.626237431509,8.28568102599432e-41,1,-565.203735745935,1136.40747149187,1144.71952536527,99960.6505202343,116,118
"Mid channel","LK","(Intercept)",734.600062742451,76.4596927082517,9.60767741436621,1.20651319958479e-16,0.784561032310062,0.782809495987379,27.5410007199777,447.92735505966,8.07763874723132e-43,1,-590.818708980459,1187.63741796092,1196.12235917282,93296.3266409106,123,125
"Mid channel","LK","DIC_umol_kg",0.796611517051085,0.0376394083412725,21.164294343532,8.07763874723132e-43,0.784561032310062,0.782809495987379,27.5410007199777,447.92735505966,8.07763874723132e-43,1,-590.818708980459,1187.63741796092,1196.12235917282,93296.3266409106,123,125
"Offshore","BB","(Intercept)",1354.20436606357,144.115607920909,9.39665304542698,2.32947276482885e-14,0.399582921657892,0.391682696942864,12.6923477361603,50.578677958085,5.40144388432572e-10,1,-307.862104789771,621.724209579541,628.79433605961,12243.2725202266,76,78
"Offshore","BB","DIC_umol_kg",0.500020234521585,0.0703078540876091,7.11186880911655,5.40144388432592e-10,0.399582921657892,0.391682696942864,12.6923477361603,50.578677958085,5.40144388432572e-10,1,-307.862104789771,621.724209579541,628.79433605961,12243.2725202266,76,78
"Offshore","UK","(Intercept)",1480.70872285189,104.217823984366,14.2078261303366,6.38836855280726e-26,0.421569754195697,0.41589886943291,11.6956469366879,74.3393265477841,8.98226575026881e-14,1,-402.318405440248,810.636810880495,818.56998357792,13952.3920413011,102,104
