Zone,Sub_region,Tra,Precipitation,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,p.value.1,df.residual,nobs,
Inshore,BB,BB_1,Dry,Intercept,1165.38,126.41,9.22,1.92E-08,0.83,0.83,7.56E-09,19,21,
Inshore,BB,BB_1,Dry,Slope,0.59,0.06,9.78,7.56E-09,0.83,0.83,7.56E-09,19,21,
Inshore,BB,BB_1,Wet,Intercept,851.50,121.50,7.01,1.13E-06,0.89,0.88,1.56E-10,19,21,
Inshore,BB,BB_1,Wet,Slope,0.73,0.06,12.36,1.56E-10,0.89,0.88,1.56E-10,19,21,
Inshore,BB,BB_2,Dry,Intercept,1239.42,150.65,8.23,3.85E-07,0.79,0.78,8.16E-07,16,18,
Inshore,BB,BB_2,Dry,Slope,0.56,0.07,7.76,8.16E-07,0.79,0.78,8.16E-07,16,18,
Inshore,BB,BB_2,Wet,Intercept,1332.12,213.75,6.23,1.20E-05,0.58,0.55,0.000264454874522,16,18,
Inshore,BB,BB_2,Wet,Slope,0.49,0.11,4.65,0.000264,0.58,0.55,0.000264454874522,16,18,0.596000174332846
Inshore,UK,UK_3,Dry,Intercept,1186.87,65.67,18.07,5.23E-19,0.91,0.91,2.12E-19,34,36,
Inshore,UK,UK_3,Dry,Slope,0.59,0.03,18.61,2.12E-19,0.91,0.91,2.12E-19,34,36,
Inshore,UK,UK_3,Wet,Intercept,1336.22,167.79,7.96,1.47E-08,0.57,0.56,2.10E-06,27,29,
Inshore,UK,UK_3,Wet,Slope,0.50,0.08,6.00,2.10E-06,0.57,0.56,2.10E-06,27,29,
Inshore,UK,UK_4,Dry,Intercept,1276.28,96.62,13.21,5.06E-10,0.90,0.89,2.67E-09,16,18,
Inshore,UK,UK_4,Dry,Slope,0.55,0.05,11.79,2.67E-09,0.90,0.89,2.67E-09,16,18,
Inshore,UK,UK_4,Wet,Intercept,1629.34,264.39,6.16,1.36E-05,0.32,0.27,0.015122309186465,16,18,
Inshore,UK,UK_4,Wet,Slope,0.36,0.13,2.72,0.015122,0.32,0.27,0.015122309186465,16,18,0.49900339467203
Inshore,MK,MK_5,Dry,Intercept,1141.94,143.56,7.95,3.94E-07,0.82,0.81,1.04E-07,17,19,
Inshore,MK,MK_5,Dry,Slope,0.61,0.07,8.76,1.04E-07,0.82,0.81,1.04E-07,17,19,
Inshore,MK,MK_5,Wet,Intercept,959.93,176.13,5.45,3.54E-05,0.76,0.75,5.05E-07,18,20,
Inshore,MK,MK_5,Wet,Slope,0.68,0.09,7.60,5.05E-07,0.76,0.75,5.05E-07,18,20,
Inshore,MK,MK_6,Dry,Intercept,876.96,192.36,4.56,0.000278,0.79,0.78,3.26E-07,17,19,
Inshore,MK,MK_6,Dry,Slope,0.74,0.09,8.07,3.26E-07,0.79,0.78,3.26E-07,17,19,
Inshore,MK,MK_6,Wet,Intercept,717.33,207.46,3.46,0.002637,0.75,0.73,4.20E-07,19,21,
Inshore,MK,MK_6,Wet,Slope,0.80,0.11,7.51,4.20E-07,0.75,0.73,4.20E-07,19,21,
Inshore,MK,MK_7,Dry,Intercept,1053.00,190.41,5.53,5.77E-05,0.77,0.75,3.90E-06,15,17,
Inshore,MK,MK_7,Dry,Slope,0.65,0.09,7.06,3.90E-06,0.77,0.75,3.90E-06,15,17,
Inshore,MK,MK_7,Wet,Intercept,580.70,231.71,2.51,0.021458,0.74,0.72,6.40E-07,19,21,
Inshore,MK,MK_7,Wet,Slope,0.87,0.12,7.30,6.40E-07,0.74,0.72,6.40E-07,19,21,0.726009930207487
Inshore,LK,LK_8,Dry,Intercept,751.55,206.44,3.64,0.001871,0.77,0.76,3.76E-07,18,20,
Inshore,LK,LK_8,Dry,Slope,0.79,0.10,7.76,3.76E-07,0.77,0.76,3.76E-07,18,20,
Inshore,LK,LK_8,Wet,Intercept,615.71,172.14,3.58,0.002155,0.83,0.82,2.97E-08,18,20,
Inshore,LK,LK_8,Wet,Slope,0.84,0.09,9.24,2.97E-08,0.83,0.82,2.97E-08,18,20,
Inshore,LK,LK_9,Dry,Intercept,987.78,192.77,5.12,8.46E-05,0.75,0.73,1.82E-06,17,19,
Inshore,LK,LK_9,Dry,Slope,0.67,0.09,7.09,1.82E-06,0.75,0.73,1.82E-06,17,19,
Inshore,LK,LK_9,Wet,Intercept,748.85,254.68,2.94,0.008748,0.65,0.63,1.66E-05,18,20,
Inshore,LK,LK_9,Wet,Slope,0.76,0.13,5.81,1.66E-05,0.65,0.63,1.66E-05,18,20,
Inshore,LK,LK_10,Dry,Intercept,642.09,292.60,2.19,0.040180,0.63,0.61,1.03E-05,20,22,
Inshore,LK,LK_10,Dry,Slope,0.83,0.14,5.84,1.03E-05,0.63,0.61,1.03E-05,20,22,
Inshore,LK,LK_10,Wet,Intercept,861.98,222.15,3.88,0.001007,0.69,0.67,3.58E-06,19,21,
Inshore,LK,LK_10,Wet,Slope,0.72,0.11,6.44,3.58E-06,0.69,0.67,3.58E-06,19,21,0.767592353591728
Mid channel,BB,BB_1,Dry,Intercept,1340.94,150.49,8.91,8.16E-08,0.74,0.72,2.53E-06,17,19,
Mid channel,BB,BB_1,Dry,Slope,0.51,0.07,6.91,2.53E-06,0.74,0.72,2.53E-06,17,19,
Mid channel,BB,BB_1,Wet,Intercept,1204.13,210.28,5.73,2.47E-05,0.64,0.62,3.59E-05,17,19,
Mid channel,BB,BB_1,Wet,Slope,0.57,0.10,5.54,3.59E-05,0.64,0.62,3.59E-05,17,19,
Mid channel,BB,BB_2,Dry,Intercept,1391.09,174.77,7.96,5.92E-07,0.67,0.65,3.26E-05,16,18,
Mid channel,BB,BB_2,Dry,Slope,0.48,0.08,5.70,3.26E-05,0.67,0.65,3.26E-05,16,18,
Mid channel,BB,BB_2,Wet,Intercept,1785.82,205.23,8.70,3.01E-07,0.35,0.31,0.01191231926737,15,17,
Mid channel,BB,BB_2,Wet,Slope,0.29,0.10,2.86,0.011912,0.35,0.31,0.01191231926737,15,17,0.461411548711875
Mid channel,UK,UK_3,Dry,Intercept,1845.61,226.84,8.14,3.16E-06,0.32,0.26,0.036378210515607,12,14,
Mid channel,UK,UK_3,Dry,Slope,0.26,0.11,2.36,0.036378,0.32,0.26,0.036378210515607,12,14,
Mid channel,UK,UK_3,Wet,Intercept,2122.09,204.60,10.37,1.65E-08,0.09,0.03,0.230249603855347,16,18,
Mid channel,UK,UK_3,Wet,Slope,0.12,0.10,1.25,0.230250,0.09,0.03,0.230249603855347,16,18,
Mid channel,UK,UK_4,Dry,Intercept,1426.48,196.70,7.25,2.82E-06,0.62,0.59,0.000191031150396,15,17,
Mid channel,UK,UK_4,Dry,Slope,0.47,0.10,4.90,0.000191,0.62,0.59,0.000191031150396,15,17,
Mid channel,UK,UK_4,Wet,Intercept,1824.61,211.12,8.64,2.01E-07,0.30,0.25,0.01937158342905,16,18,
Mid channel,UK,UK_4,Wet,Slope,0.27,0.10,2.60,0.019372,0.30,0.25,0.01937158342905,16,18,0.280886959761634
Mid channel,MK,MK_5,Dry,Intercept,1470.05,194.04,7.58,5.28E-07,0.55,0.53,0.000167553575173,18,20,
Mid channel,MK,MK_5,Dry,Slope,0.45,0.09,4.73,0.000168,0.55,0.53,0.000167553575173,18,20,
Mid channel,MK,MK_5,Wet,Intercept,728.40,277.85,2.62,0.016794,0.64,0.62,1.28E-05,19,21,
