"Zone","Sub_region","Season","Month","Region","Tem_mean","Tem_sd","Sal_mean","Sal_sd","TA_mean","TA_sd","nTA_mean","nTA_sd","nDIC_mean","nDIC_sd","DIC_mean","DIC_sd","pCO2_mean","pCO2_sd","pH_mean","pH_sd","Ara_mean","Ara_sd","n"
"Inshore","BB","Spring","Apr","FL",26.31,1.37,36.63,0.42,2349.21,36.2,2309.28,58.25,1933.69,78.54,1966.83,59.3,317.72,44.55,8.13,0.05,4.21,0.33,9
"Inshore","BB","Spring","May","FL",27.13,1.13,36.35,0.73,2364.05,23.4,2342.24,64.95,1966.47,91.83,1984.35,60.69,335.63,61.25,8.11,0.06,4.23,0.34,4
"Inshore","BB","Spring","Jun","FL",28.95,1.04,36.43,0.68,2268.15,83.75,2242.17,96.68,1904.26,101.24,1925.9,82.53,387.53,47.92,8.04,0.04,3.82,0.29,8
"Inshore","BB","Summer","Jul","FL",30.92,0.77,36.43,0.33,2324.69,50.85,2297.08,58.17,1986.17,52.59,2009.96,41.92,501.04,60.15,7.96,0.04,3.63,0.31,10
"Inshore","BB","Summer","Aug","FL",31.37,1.41,35.87,0.93,2334.36,51.21,2344.85,106.82,2020.69,154.03,2010.44,101.15,498.65,137.6,7.97,0.09,3.77,0.63,4
"Inshore","BB","Summer","Sep","FL",29.11,1.54,34.61,0.87,2370.09,41.46,2466.27,57.01,2191.83,81.55,2105.85,52.72,597.11,108.28,7.91,0.07,3.17,0.48,6
"Inshore","BB","Fall","Oct","FL",28.89,0.27,34.64,0.52,2390.06,68.15,2484.79,90.07,2210.12,95.01,2125.7,72.31,590.85,52.93,7.92,0.03,3.17,0.14,7
"Inshore","BB","Fall","Nov","FL",25.3,1.71,35.54,0.47,2405.36,48.13,2436.53,53.11,2151.43,63.27,2123.68,49.43,491.02,56.13,7.99,0.04,3.25,0.33,6
"Inshore","BB","Fall","Dec","FL",23.59,0.88,35.57,0.74,2413.2,28.83,2443.07,65.61,2141.15,77.39,2114.69,43.92,424.35,33.68,8.04,0.02,3.38,0.17,10
"Inshore","BB","Winter","Jan","FL",22.61,2.06,35.66,0.77,2424.28,34.61,2448.37,74.88,2149.91,83.07,2128.55,49.09,418,36.01,8.05,0.03,3.34,0.18,7
"Inshore","BB","Winter","Feb","FL",22.7,1.3,35.81,0.4,2420.96,41.99,2434.41,63.53,2101.31,59.41,2089.65,39.66,355.86,21.18,8.1,0.02,3.7,0.12,4
"Inshore","BB","Winter","Mar","FL",24.21,0.36,35.99,0.91,2421.09,63.69,2424.42,125.42,2077.13,121.33,2074.03,69.56,356.27,40.87,8.1,0.04,3.88,0.25,6
"Inshore","UK","Spring","Apr","FL",26.92,1.66,36.78,0.32,2321.98,48.72,2272.99,54.34,1853.85,75.12,1893.78,72.66,262.92,47.78,8.19,0.06,4.67,0.26,13
