"","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020","2021","2022","Months"
"1",NA,NA,NA,NA,NA,38,37,19,6,35,NA,36,"January"
"2",NA,16,22,NA,NA,NA,NA,NA,NA,NA,37,NA,"February"
"3",24,NA,2,NA,NA,38,35,33,NA,NA,NA,38,"March"
"4",NA,23,NA,NA,38,NA,NA,15,35,NA,37,NA,"April"
"5",NA,NA,NA,NA,NA,38,NA,16,NA,NA,28,NA,"May"
"6",20,24,NA,NA,38,NA,38,35,NA,NA,8,NA,"June"
"7",NA,NA,NA,NA,37,38,17,NA,36,NA,25,NA,"July"
"8",NA,NA,NA,NA,NA,NA,19,38,NA,34,10,NA,"August"
"9",NA,NA,NA,NA,38,38,NA,NA,36,NA,NA,NA,"September"
"10",NA,28,NA,NA,NA,NA,38,18,NA,38,36,NA,"October"
"11",NA,NA,NA,NA,37,35,NA,NA,37,NA,NA,NA,"November"
"12",NA,25,NA,36,NA,NA,NA,37,NA,37,35,NA,"December"
