"","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020","2021","2022","SiteID","Sub_region","Zone"
"1",2,5,1,1,5,6,5,6,4,4,6,2,"1","BB","Inshore"
"2",2,5,1,1,5,6,5,6,4,4,6,2,"3","BB","Offshore"
"3",1,3,NA,1,5,6,5,4,2,3,4,1,"4","UK","Inshore"
"4",1,3,1,1,5,6,5,4,2,3,4,1,"5","UK","Inshore"
"5",2,2,1,1,5,5,4,4,3,3,4,2,"5.5","UK","Mid channel"
"6",2,3,NA,1,5,5,4,4,3,3,5,2,"6","UK","Offshore"
"7",1,4,1,1,5,5,4,4,3,3,5,2,"6.5","UK","Oceanic"
"8",2,4,1,1,5,6,5,5,4,4,5,2,"10","MK","Inshore"
"9",1,3,1,1,5,6,5,4,4,4,6,2,"13","MK","Inshore"
"10",2,5,NA,1,5,6,3,6,4,4,6,2,"7","MK","Inshore"
"11",2,3,1,1,5,6,5,5,4,4,6,2,"11","MK","Mid channel"
"12",1,2,1,1,5,6,5,5,4,4,6,2,"14","MK","Mid channel"
"13",2,4,1,1,5,6,5,6,4,4,6,2,"8","MK","Mid channel"
"14",1,4,1,1,5,6,5,6,4,4,6,2,"12","MK","Offshore"
"15",2,5,NA,1,5,6,5,6,4,4,6,2,"9","MK","Offshore"
"16",2,4,1,1,5,6,5,4,3,4,5,2,"9.5","MK","Oceanic"
"17",2,5,1,1,5,6,5,6,4,3,5,2,"16","LK","Inshore"
"18",2,5,NA,1,5,6,4,6,4,4,6,2,"19","LK","Inshore"
"19",2,5,1,1,5,6,5,7,5,4,6,2,"24","LK","Inshore"
"20",2,5,1,1,5,6,5,7,4,4,5,2,"17","LK","Mid channel"
"21",2,5,1,1,5,6,5,6,4,4,6,2,"20","LK","Mid channel"
"22",1,5,1,1,5,6,5,7,5,4,6,2,"23","LK","Mid channel"
"23",2,5,1,1,5,6,5,7,4,4,6,2,"18","LK","Offshore"
"24",1,4,NA,1,5,6,5,5,4,4,6,2,"21LK","LK","Offshore"
"25",1,2,1,1,5,6,5,7,5,4,6,2,"22","LK","Offshore"
"26",2,5,1,1,4,6,5,5,4,3,6,2,"21.5","LK","Oceanic"
"27",1,5,1,1,4,6,5,6,5,3,6,2,"22.5","LK","Oceanic"
"28",NA,1,1,1,5,6,5,6,4,4,6,2,"2","BB","Mid channel"
"29",NA,3,1,1,5,6,5,5,4,4,6,2,"15","MK","Offshore"
"30",NA,2,1,1,5,6,5,4,4,4,6,2,"15.5","MK","Oceanic"
"31",NA,NA,NA,1,5,6,5,6,4,4,7,2,"EK_IN","BB","Inshore"
"32",NA,NA,NA,1,5,6,5,5,4,4,6,2,"EK_MID","BB","Mid channel"
"33",NA,NA,NA,1,5,6,5,6,4,4,6,2,"EK_OFF","BB","Offshore"
"34",NA,NA,NA,1,5,6,5,6,4,4,5,2,"UK_IN","UK","Inshore"
"35",NA,NA,NA,1,5,6,5,5,4,4,6,2,"UK_MID","UK","Mid channel"
"36",NA,NA,NA,1,5,6,5,6,4,4,6,2,"UK_OFF","UK","Offshore"
"37",NA,NA,NA,NA,5,6,5,7,5,4,6,2,"MR","UK","Offshore"
"38",NA,NA,NA,NA,5,6,5,7,5,4,6,2,"WS","LK","Offshore"
