"","Sub_region","Zone","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar"
"1","Biscayne","Inshore",9,4,8,10,5,6,8,6,7,7,4,7
"2","Biscayne","Mid channel",9,4,5,10,5,6,7,6,6,7,3,6
"3","Biscayne","Offshore",9,4,8,10,5,6,8,6,7,7,4,7
"4","UK","Inshore",13,6,8,13,8,7,9,9,11,10,4,9
"5","UK","Mid channel",6,3,9,9,3,6,6,5,6,7,2,7
"6","UK","Offshore",11,5,12,14,6,9,11,8,8,12,3,9
"7","UK","Oceanic",3,1,5,4,2,3,4,2,3,3,2,4
"8","MK","Inshore",12,8,15,13,11,9,13,9,12,10,6,9
"9","MK","Mid channel",12,8,13,13,11,9,13,9,11,9,7,11
"10","MK","Offshore",13,7,13,13,11,9,13,9,12,10,6,11
"11","MK","Oceanic",7,4,8,8,8,6,8,6,8,6,5,7
"12","LK","Inshore",12,7,16,9,15,9,15,9,12,11,8,12
"13","LK","Mid channel",12,7,15,10,13,9,15,9,12,12,9,12
"14","LK","Offshore",14,10,18,13,18,12,19,12,14,19,7,14
"15","LK","Oceanic",8,4,10,5,10,6,9,5,7,7,6,8
