"Zone","Sub_region","Month2","Season","Region","dTA_mean","dTA_sd","dnTA_mean","dnTA_sd","dDIC_mean","dDIC_sd","dnDIC_mean","dnDIC_sd","dpCO2_mean","dpCO2_sd","dpH_mean","dpH_sd","dAra_mean","dAra_sd"
"Inshore","BB","Jan","Winter","FL",39.666,31.32,75.026,77.5,70.869,70.869,101.945,85.216,26.37,37.949,-0.012,-0.012,-0.326,-0.326
"Inshore","BB","Feb","Winter","FL",39.032,47.004,54.084,58.325,32.784,32.784,45.79,44.075,-8.258,30.307,0.015,0.015,0.084,0.084
"Inshore","BB","Mar","Winter","FL",42.915,65.388,71.69,126.119,29.246,29.246,54.229,123.591,-33.858,38.153,0.043,0.043,0.149,0.149
"Inshore","BB","Apr","Spring","FL",-23.313,39.194,-39.4,57.427,-71.667,-71.667,-84.335,85.646,-80.012,57.201,0.073,0.073,0.465,0.465
"Inshore","BB","May","Spring","FL",-26.256,23.096,-27.237,68.708,-73.86,-73.86,-73.827,92.266,-77.948,50.821,0.071,0.071,0.475,0.475
"Inshore","BB","Jun","Spring","FL",-114.677,90.325,-116.873,102.783,-114.14,-114.14,-115.418,104.43,-33.919,44.071,0.012,0.012,-0.081,-0.081
"Inshore","BB","Jul","Summer","FL",-46.623,51.102,-109.499,63.516,-28.506,-28.506,-82.829,43.601,45.272,42.589,-0.043,-0.043,-0.247,-0.247
"Inshore","BB","Aug","Summer","FL",-56.057,44.572,-34.201,108.843,-32.024,-32.024,-17.058,159.979,58.752,139.026,-0.045,-0.045,-0.26,-0.26
"Inshore","BB","Sep","Summer","FL",-10.337,33.014,35.252,68.987,64.194,64.194,107.052,75.221,155.248,118.6,-0.103,-0.103,-0.784,-0.784
"Inshore","BB","Oct","Fall","FL",11.035,67.037,71.399,107.204,83.917,83.917,138.834,111.933,159.024,60.389,-0.106,-0.106,-0.73,-0.73
"Inshore","BB","Nov","Fall","FL",22.688,48.227,60.712,60.018,67.297,67.297,100.759,70.265,53.827,61.204,-0.036,-0.036,-0.471,-0.471
"Inshore","BB","Dec","Fall","FL",32.545,26.576,56.945,66.882,60.603,60.603,82.327,70.632,22.744,32.794,-0.011,-0.011,-0.305,-0.305
"Inshore","UK","Jan","Winter","FL",67.409,76.317,106.688,129.378,87.438,87.438,121.806,125.339,6.068,64.746,0.012,0.012,-0.207,-0.207
"Inshore","UK","Feb","Winter","FL",25.576,52.767,17.242,41.458,-8.139,-8.139,-15.443,47.423,-48.491,16.379,0.053,0.053,0.344,0.344
"Inshore","UK","Mar","Winter","FL",35.489,41.528,25.646,66.335,8.591,8.591,0.661,80.322,-51.342,43.368,0.058,0.058,0.25,0.25
"Inshore","UK","Apr","Spring","FL",-59.607,46.794,-87.072,56.146,-155.668,-155.668,-177.045,75.726,-143.357,35.699,0.14,0.14,0.924,0.924
"Inshore","UK","May","Spring","FL",-61.833,49.234,-100.394,70.054,-143.78,-143.78,-174.62,65.687,-125.816,27.747,0.114,0.114,0.778,0.778
"Inshore","UK","Jun","Spring","FL",-50.328,45.91,-54.97,65.147,-72.939,-72.939,-76.374,73.555,-41.647,40.794,0.028,0.028,0.217,0.217
"Inshore","UK","Jul","Summer","FL",-30.263,54.942,-67.997,81.683,-31.856,-31.856,-64.236,55.362,8.478,47.787,-0.013,-0.013,-0.009,-0.009
"Inshore","UK","Aug","Summer","FL",-32.834,28.254,-45.402,47.856,-52.357,-52.357,-67.883,41.404,-23.232,39.92,0.012,0.012,0.195,0.195
"Inshore","UK","Sep","Summer","FL",-39.635,41.617,-36.344,41.439,21.764,21.764,26.981,64.137,150.68,70.694,-0.113,-0.113,-0.64,-0.64
"Inshore","UK","Oct","Fall","FL",-6.84,49.708,46.149,69.301,58.694,58.694,106.661,92.269,145.213,96.347,-0.098,-0.098,-0.658,-0.658
"Inshore","UK","Nov","Fall","FL",52.039,44.195,79.604,72.26,113.563,113.563,138.148,104.426,113.948,109.211,-0.07,-0.07,-0.636,-0.636
"Inshore","UK","Dec","Fall","FL",68.782,74.141,86.938,112.262,99.873,99.873,116.422,141.99,46.295,77.676,-0.024,-0.024,-0.318,-0.318
"Inshore","MK","Jan","Winter","FL",66.288,95.066,80.581,112.924,96.281,96.281,108.788,98.069,32.995,51.27,-0.014,-0.014,-0.317,-0.317
"Inshore","MK","Feb","Winter","FL",66.746,90.021,169.15,231.528,39.93,39.93,127.834,193.992,-40.302,35.921,0.057,0.057,0.36,0.36
"Inshore","MK","Mar","Winter","FL",36.837,35.77,18.253,59.096,16.463,16.463,0.829,63.484,-36.009,43.586,0.042,0.042,0.186,0.186
"Inshore","MK","Apr","Spring","FL",-27.494,40.509,-59.309,58.312,-97.246,-97.246,-123.035,57.253,-102.673,36.489,0.097,0.097,0.677,0.677
"Inshore","MK","May","Spring","FL",-77.969,36.654,-119.433,39.361,-157.641,-157.641,-190.611,46.321,-120.291,39.771,0.108,0.108,0.745,0.745
"Inshore","MK","Jun","Spring","FL",-121.61,82.996,-139.623,72.552,-140.176,-140.176,-154.757,80.894,-50.318,73.558,0.028,0.028,0.115,0.115
"Inshore","MK","Jul","Summer","FL",-133.222,103.72,-220.012,147.882,-117.762,-117.762,-192.262,129.573,17.073,60.524,-0.038,-0.038,-0.288,-0.288
"Inshore","MK","Aug","Summer","FL",-134.011,110.56,-169.428,139.932,-121.986,-121.986,-155.829,119.784,-10.575,42.005,-0.015,-0.015,-0.239,-0.239
"Inshore","MK","Sep","Summer","FL",-96.924,80.795,-156.726,143.574,-52.077,-52.077,-102.255,133.086,79.112,69.359,-0.077,-0.077,-0.568,-0.568
"Inshore","MK","Oct","Fall","FL",-28.13,40.401,22.861,51.769,10.443,10.443,55.405,65.234,62.584,91.853,-0.045,-0.045,-0.395,-0.395
"Inshore","MK","Nov","Fall","FL",-12.326,16.293,-9.598,22.897,21.448,21.448,23.779,29.093,32.782,44.397,-0.027,-0.027,-0.389,-0.389
"Inshore","MK","Dec","Fall","FL",62.342,57.064,96.163,133.761,91.072,91.072,121.21,122.965,29.309,41.984,-0.011,-0.011,-0.299,-0.299
