"Zone","Sub_region","su_dTA_Y","su_dDIC_Y","su_dpCO2_Y","su_dpH_Y","su_dAra_Y","n()"
"Inshore","BB",-92.7,80.18,285.13,-0.14,-1.96,12
"Inshore","UK",-43.03,-84.07,43.74,0.09,0.23,12
"Inshore","MK",-392.53,-411.25,-108.24,0.11,-0.31,12
"Inshore","LK",-977.32,-638.22,340.72,-0.36,-4.2,12
"Mid channel","BB",-38.97,38.7,85.82,-0.05,-0.96,12
"Mid channel","UK",3.51,-61.79,-74.84,0.1,0.63,12
"Mid channel","MK",-201.06,-219.12,-82.95,0.06,-0.06,12
"Mid channel","LK",-352.13,-236.57,136.21,-0.15,-1.68,12
"Offshore","BB",-36.84,11.91,68.96,-0.05,-0.55,12
"Offshore","UK",-11.41,-12.79,4.67,0,-0.02,12
"Offshore","MK",-75.96,-66.68,-32.95,0.02,-0.19,12
"Offshore","LK",-69.73,7.97,101.61,-0.09,-0.97,12
