"Sub_region","Season","Month2","mean.Inshore","sd.Inshore","mean.Mid channel","sd.Mid channel","mean.Offshore","sd.Offshore","mean.Oceanic","sd.Oceanic"
"BB","Winter","Jan",22.61,2.06,24.24,1.4,25.24,1.31,NA,NA
"BB","Winter","Feb",22.7,1.3,23.61,1.1,23.87,0.96,NA,NA
"BB","Winter","Mar",24.21,0.36,24.42,0.19,24.68,0.31,NA,NA
"BB","Spring","Apr",26.31,1.37,25.98,1.08,26.01,0.63,NA,NA
"BB","Spring","May",27.13,1.13,26.65,0.84,26.69,0.55,NA,NA
"BB","Spring","Jun",28.95,1.04,28.67,0.97,28.53,0.98,NA,NA
"BB","Summer","Jul",30.92,0.77,30.29,0.54,30.19,0.56,NA,NA
"BB","Summer","Aug",31.37,1.41,30.88,1.09,30.69,0.65,NA,NA
"BB","Summer","Sep",29.11,1.54,29.35,1.02,30.15,0.81,NA,NA
"BB","Fall","Oct",28.89,0.27,29.04,0.38,29.32,0.35,NA,NA
"BB","Fall","Nov",25.3,1.71,26.78,0.61,27.35,0.33,NA,NA
"BB","Fall","Dec",23.59,0.88,24.71,0.47,25.56,0.28,NA,NA
"UK","Winter","Jan",21.88,3.14,23.91,2.66,24.94,1.18,25.87,1.3
"UK","Winter","Feb",22.98,1.38,23.45,0.78,23.35,0.47,23.26,0.01
"UK","Winter","Mar",24.43,0.71,24.8,0.94,24.91,0.74,25.29,0.55
"UK","Spring","Apr",26.92,1.66,26.41,1.34,26.01,0.7,25.48,0.59
"UK","Spring","May",27.52,1.41,26.84,1.14,26.72,0.99,26.32,NA
"UK","Spring","Jun",29.05,1.07,28.92,0.95,28.59,0.73,28.43,0.76
"UK","Summer","Jul",31.01,0.9,30.72,0.77,30.51,0.64,30.55,0.78
"UK","Summer","Aug",31.6,1.16,30.75,0.49,30.57,0.76,30.14,NA
"UK","Summer","Sep",31.43,1.7,30.31,1.76,30.59,1.06,30.34,0.81
"UK","Fall","Oct",29.28,0.31,29.49,0.15,29.12,0.89,29.57,0.45
"UK","Fall","Nov",25.17,1.37,26.63,0.77,27.54,0.22,27.61,0.38
"UK","Fall","Dec",23.4,1.33,24.65,1.13,25.48,0.33,25.88,0.29
"MK","Winter","Jan",22.45,2.05,23.88,1.74,24.87,1.05,25.15,1.15
"MK","Winter","Feb",22.96,1.69,23.5,1.32,22.95,1.84,23.79,2
"MK","Winter","Mar",24.71,1.38,24.31,0.8,24.85,0.54,25.75,0.78
"MK","Spring","Apr",26.62,2.06,26.37,1.27,25.99,0.74,26.2,0.65
"MK","Spring","May",27.56,1.72,27.42,1.28,26.85,0.76,26.75,0.88
"MK","Spring","Jun",29.64,1.19,29.51,1.04,28.63,1.15,28.58,1.03
"MK","Summer","Jul",31.46,1.1,31.23,1.12,30.5,0.76,30.3,0.41
