,CTDID,Region,Year,Mission,Location,Latitude,Longitude,ESTDate,UTCDate,EST.Time,UTCTime,Sample_Depth_m,DIC,TA,pH,pCO2,Aragonite_Sat_W,Salinity_Bottle,Conductivity_Sm,Salinity_CTD,Temperature_C,Pressure_db,Density_Sigmat,SiteID,Survey_design,Sample_frequency,Date,Season,Precipitation,Month,BestSalinity,TA_0,DIC_0,nTA,nDIC,dec.lon,dec.lat,Zone,Sub_region,Reference
2840,CalVal_Jul2019_5,FLK,2019,CalVal,FLK,24.89558333,-80.61663333,07/10/19,07/10/19,01:00:00 PM,05:00:00 PM,0,2307.9309,2372.671858,7.426094052,2082.723471,1.297162514,36.87781899,NA,NA,30.7,NA,NA,CalVal_S,Permanent,Single,2019-07-10,Summer,Wet,July,36.87781899,2832.89295825478,3281.61070804973,2396.10632200373,2357.51068762874,NA,NA,Inshore,UK,5
2841,CalVal_Jul2019_5,FLK,2019,CalVal,FLK,24.89558333,-80.61663333,07/10/19,07/10/19,01:00:00 PM,05:00:00 PM,0,2307.9309,2372.671858,7.426094052,2082.723471,1.297162514,36.87781899,NA,NA,30.7,NA,NA,CalVal_S,Permanent,Single,2019-07-10,Summer,Wet,July,36.87781899,2832.89295825478,3281.61070804973,2396.10632200373,2357.51068762874,NA,NA,Inshore,UK,5
2842,CalVal_Jul2019_6,FLK,2019,CalVal,FLK,24.89646667,-80.6182,07/10/19,07/10/19,01:12:00 PM,05:12:00 PM,0,2302.569115,2373.204777,7.441470592,2004.413211,1.340792152,36.9157938,NA,NA,30.7,NA,NA,ADCP_S,Permanent,Single,2019-07-10,Summer,Wet,July,36.9157938,2832.89295825478,3281.61070804973,2397.06090135567,2353.37776953059,NA,NA,Inshore,UK,5
2843,CalVal_Jul2019_6,FLK,2019,CalVal,FLK,24.89646667,-80.6182,07/10/19,07/10/19,01:12:00 PM,05:12:00 PM,0,2302.569115,2373.204777,7.441470592,2004.413211,1.340792152,36.9157938,NA,NA,30.7,NA,NA,ADCP_S,Permanent,Single,2019-07-10,Summer,Wet,July,36.9157938,2832.89295825478,3281.61070804973,2397.06090135567,2353.37776953059,NA,NA,Inshore,UK,5
2844,CalVal_Jul2019_7,FLK,2019,CalVal,FLK,24.8977,-80.61816667,07/10/19,07/10/19,02:17:00 PM,06:17:00 PM,0,2309.319101,2380.432268,7.439413384,2023.028366,1.353327944,36.83198624,NA,NA,31,NA,NA,MapCO2_Buoy,Permanent,Single,2019-07-10,Summer,Wet,July,36.83198624,2832.89295825478,3281.61070804973,2402.93721121122,2357.67991526008,NA,NA,Inshore,UK,5
2845,CalVal_Jul2019_7,FLK,2019,CalVal,FLK,24.8977,-80.61816667,07/10/19,07/10/19,02:17:00 PM,06:17:00 PM,0,2309.319101,2380.432268,7.439413384,2023.028366,1.353327944,36.83198624,NA,NA,31,NA,NA,MapCO2_Buoy,Permanent,Single,2019-07-10,Summer,Wet,July,36.83198624,2832.89295825478,3281.61070804973,2402.93721121122,2357.67991526008,NA,NA,Inshore,UK,5
2846,CalVal_Jul2019_8,FLK,2019,CalVal,FLK,24.8977,-80.61816667,07/10/19,07/10/19,02:17:00 PM,06:17:00 PM,0,2309.364716,2374.713998,7.427382729,2082.72932,1.31104235,36.49278724,NA,NA,31,NA,NA,MapCO2_Buoy,Permanent,Single,2019-07-10,Summer,Wet,July,36.49278724,2832.89295825478,3281.61070804973,2393.45643334775,2349.13576449591,NA,NA,Inshore,UK,5
2847,CalVal_Jul2019_8,FLK,2019,CalVal,FLK,24.8977,-80.61816667,07/10/19,07/10/19,02:17:00 PM,06:17:00 PM,0,2309.364716,2374.713998,7.427382729,2082.72932,1.31104235,36.49278724,NA,NA,31,NA,NA,MapCO2_Buoy,Permanent,Single,2019-07-10,Summer,Wet,July,36.49278724,2832.89295825478,3281.61070804973,2393.45643334775,2349.13576449591,NA,NA,Inshore,UK,5
2848,CalVal_Jul2019_9,FLK,2019,CalVal,FLK,24.88546667,-80.6041,07/10/19,07/10/19,02:34:00 PM,06:34:00 PM,0,2312.396371,2398.306793,7.483826569,1824.723287,1.474855179,36.54910659,NA,NA,30.7,NA,NA,Transect 2,Permanent,Single,2019-07-10,Summer,Wet,July,36.54910659,2832.89295825478,3281.61070804973,2416.72640308982,2353.4757969211,NA,NA,Middel channel,UK,5
2849,CalVal_Jul2019_9,FLK,2019,CalVal,FLK,24.88546667,-80.6041,07/10/19,07/10/19,02:34:00 PM,06:34:00 PM,0,2312.396371,2398.306793,7.483826569,1824.723287,1.474855179,36.54910659,NA,NA,30.7,NA,NA,Transect 2,Permanent,Single,2019-07-10,Summer,Wet,July,36.54910659,2832.89295825478,3281.61070804973,2416.72640308982,2353.4757969211,NA,NA,Middel channel,UK,5
