"CTDID","Region","Year","Mission","Location","Latitude","Longitude","SiteID","ESTDate","UTCDate","EST.Time","UTCTime","Sample_Depth_m","DIC","TA","pH","pCO2","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","Survey_design","Sample_frequency","File_Origin","Notes","Bottle.No.","Temp..o.C..input","Locale","pH..total.","Date","DoM","Season","Precipitation","Month","BestSalinity","TA_0","DIC_0","nTA","nDIC","MY","ID","datetime","MoY","ToD","dec.lon","dec.lat","Zone","Sub_region","Reference","Extreme"
"SAV1803_1","FLK",2018,"WaltonSmith","Biscayne",25.6449,-80.0831,"3","03/08/2018","03/08/2018","11:00:00 AM","4:00:00 PM",2,2050.32,2379.23,8.069,380.42,3.667,36.309,NA,36.267,24.66,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-08,"08","Winter","Dry","March",36.309,2437.85181719917,2893.16216030698,2381.34341426957,2080.70586542846,"2018-03","3 _ 2018-03-08",2018-03-08 11:00:00,3,11,-80.08333333,25.645,"Offshore","Biscayne",1,"Normal"
"SAV1803_11","FLK",2018,"WaltonSmith","MK",24.7928,-80.7425,"8","03/09/2018","03/09/2018","3:07:00 AM","8:07:00 AM",2,2029.17,2385.84,8.126,324.338,3.919,36.509,NA,36.46,23.5,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",36.509,2437.85181719917,2893.16216030698,2387.98976669187,2064.88076090562,"2018-03","8 _ 2018-03-09",2018-03-09 03:07:00,3,3.11666666666667,-80.74166667,24.7925,"Mid channel","MK",6,"Normal"
"SAV1803_12","FLK",2018,"WaltonSmith","MK",24.8112,-80.7553,"7","03/09/2018","03/09/2018","3:25:00 AM","8:25:00 AM",2,1990.18,2376.13,8.181,274.708,4.154,37.093,NA,37.15,22.38,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",37.093,2437.85181719917,2893.16216030698,2379.61269925317,2041.13143723944,"2018-03","7 _ 2018-03-09",2018-03-09 03:25:00,3,3.41666666666667,-80.75666667,24.82083333,"Inshore","MK",6,"Normal"
"SAV1803_13","FLK",2018,"WaltonSmith","UK",24.8982,-80.5296,"UK_OFF","03/07/2018","03/08/2018","11:00:00 PM","4:00:00 AM",2,2047.26,2387.185,8.078,371.141,3.789,36.381,NA,36.289,25.06,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-07,"07","Winter","Dry","March",36.381,2437.85181719917,2893.16216030698,2389.10828068366,2079.36991680778,"2018-03","UK_OFF _ 2018-03-07",2018-03-07 23:00:00,3,23,-80.529497,24.898193,"Offshore","UK",4,"Normal"
"SAV1803_14","FLK",2018,"WaltonSmith","UK",24.921,-80.5473,"UK_MID","03/07/2018","03/08/2018","11:18:00 PM","4:18:00 AM",2,2045.444,2383.749,8.092,357.225,3.745,36.428,NA,36.37,23.97,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-07,"07","Winter","Dry","March",36.428,2437.85181719917,2893.16216030698,2385.86986370266,2078.67507315577,"2018-03","UK_MID _ 2018-03-07",2018-03-07 23:18:00,3,23.3,-80.546176,24.920702,"Mid channel","UK",4,"Normal"
"SAV1803_15","FLK",2018,"WaltonSmith","MK",24.7611,-80.7228,"9","03/09/2018","03/09/2018","2:40:00 AM","7:40:00 AM",2,2050.2,2380.06,8.071,378.108,3.672,36.381,NA,36.32,24.55,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",36.381,2437.85181719917,2893.16216030698,2382.25374122625,2082.19831624705,"2018-03","9 _ 2018-03-09",2018-03-09 02:40:00,3,2.66666666666667,-80.72333333,24.76333333,"Offshore","MK",6,"Normal"
"SAV1803_16","FLK",2018,"WaltonSmith","MK",24.7113,-80.8324,"12","03/09/2018","03/09/2018","4:45:00 AM","9:45:00 AM",2,2057.81,2387.05,8.076,374.98,3.658,36.423,NA,36.366,24.09,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",36.423,2437.85181719917,2893.16216030698,2389.0347619876,2090.4461399148,"2018-03","12 _ 2018-03-09",2018-03-09 04:45:00,3,4.75,-80.83166667,24.71333333,"Offshore","MK",7,"Normal"
"SAV1803_17","FLK",2018,"WaltonSmith","UK",24.9361,-80.5675,"UK_IN","03/07/2018","03/08/2018","11:35:00 PM","4:35:00 AM",2,1982.671,2387.356,8.2,260.679,4.382,36.768,NA,36.697,23.01,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-07,"07","Winter","Dry","March",36.768,2437.85181719917,2893.16216030698,2389.78410609248,2026.45223290423,"2018-03","UK_IN _ 2018-03-07",2018-03-07 23:35:00,3,23.5833333333333,-80.569852,24.939806,"Inshore","UK",4,"Normal"
"SAV1803_18","FLK",2018,"WaltonSmith","MK",24.7169,-80.6916,"9.5","03/09/2018","03/09/2018","1:45:00 AM","6:45:00 AM",2,2051.3,2380.54,8.067,382.476,3.673,36.33,NA,36.28,24.79,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",36.33,2437.85181719917,2893.16216030698,2382.6381204755,2082.11961665864,"2018-03","9.5 _ 2018-03-09",2018-03-09 01:45:00,3,1.75,-80.69,24.71666667,"Oceanic","MK",6,"Normal"
"SAV1803_19","FLK",2018,"WaltonSmith","MK",24.7538,-80.8481,"11","03/09/2018","03/09/2018","5:29:00 AM","10:29:00 AM",2,2011.47,2436.8,8.229,246.105,4.652,36.3,NA,36.253,22.87,0,NA,"Permanent","Single","Nikki’s_DB","","",NA,"",NA,2018-03-09,"09","Winter","Dry","March",36.3,2437.85181719917,2893.16216030698,2436.83766838454,2043.0457522975,"2018-03","11 _ 2018-03-09",2018-03-09 05:29:00,3,5.48333333333333,-80.84666667,24.75333333,"Mid channel","MK",7,"Normal"
